firm,ticker,status,fiscal_year,filing_date,accession,total_assets,total_liabilities,stockholders_equity,cash_and_equivalents,short_term_borrowings,net_income,provision_for_loan_losses
Lehman Brothers,LEH,failed,2007,2008-01-29,0001104659-08-005476,691277.0,668577.0,22700.0,7286.0,16801.0,4192.0,
Lehman Brothers,LEH,failed,2006,2007-02-13,0001104659-07-010272,503545.0,484354.0,19191.0,5987.0,20638.0,4007.0,
Lehman Brothers,LEH,failed,2005,2006-02-13,0001047469-06-001870,410063.0,393269.0,16794.0,5440.0,2941.0,-3836.0,
Bear Stearns,BSC,failed,2007,2008-01-29,0000914121-08-000077,96077.0,,11793.0,17401.0,-10744.0,,
Bear Stearns,BSC,failed,2006,2007-02-13,0000914121-07-000335,91382114.0,,12129384.0,2154047.0,19467424.0,1009519.0,
Bear Stearns,BSC,failed,2005,2006-02-13,0001169232-06-000651,67790965.0,,10791432.0,2154047.0,9569754.0,1462177.0,
AIG,AIG,failed,2008,2009-03-02,0000950123-09-003734,860418000000.0,807708000000.0,95801000000.0,20000000.0,,-99289000000.0,
AIG,AIG,failed,2007,2008-02-28,0000950123-08-002280,1060505000000.0,1060505000000.0,101677000000.0,,,1060505000000.0,
AIG,AIG,failed,2006,2007-03-01,0000950123-07-003026,979952000000.0,979952000000.0,101677000000.0,,34600000.0,979414000000.0,
AIG,AIG,failed,2005,2006-03-16,0000950123-06-003276,853370000000.0,853370000000.0,86317000000.0,,31500000.0,10477000000.0,
JPMorgan Chase,JPM,survived,2008,2009-03-02,0000950123-09-003840,2175052.0,2008168.0,166884.0,40144.0,,-12235.0,24849.0
JPMorgan Chase,JPM,survived,2007,2008-02-29,0001193125-08-043536,1562147.0,1455044.0,123221.0,40412.0,,15365.0,19542.0
JPMorgan Chase,JPM,survived,2006,2007-03-01,0000950123-07-003015,1353083.0,1313794.0,115790.0,40412.0,9811.0,14444.0,17972.0
JPMorgan Chase,JPM,survived,2005,2006-03-09,0000950123-06-002875,1198942.0,1185066.0,107211.0,36670.0,9811.0,8483.0,16348.0
Wells Fargo,WFC,survived,2008,2009-02-27,0000950134-09-003967,31.0,,,,,,
Wells Fargo,WFC,survived,2007,2008-02-29,0000950134-08-003822,31.0,,,,,,
Wells Fargo,WFC,survived,2006,2007-03-01,0000950134-07-004518,,,,,,,
Wells Fargo,WFC,survived,2005,2006-03-09,0000950149-06-000083,880.0,,,,80.0,,
