firm,ticker,status,fiscal_year,n_sentences,positive_ratio,negative_ratio,neutral_ratio,avg_positive_conf,avg_negative_conf,sentiment_score,section
Lehman Brothers,LEH,failed,2005,132,0.11363636363636363,0.4696969696969697,0.4166666666666667,0.7829955577850342,0.8468957216508927,-0.3560606060606061,risk_factors
Lehman Brothers,LEH,failed,2005,789,0.2889733840304182,0.09252217997465145,0.6185044359949303,0.899839143219747,0.8215436127087842,0.19645120405576677,mda
Lehman Brothers,LEH,failed,2006,171,0.11695906432748537,0.4502923976608187,0.4327485380116959,0.7645744577050209,0.8340165115796127,-0.3333333333333333,risk_factors
Lehman Brothers,LEH,failed,2006,871,0.27784156142365096,0.09299655568312284,0.6291618828932262,0.8975011515469591,0.841502575226772,0.18484500574052812,mda
Lehman Brothers,LEH,failed,2007,226,0.10176991150442478,0.415929203539823,0.4823008849557522,0.7750185106111609,0.8317097805915995,-0.3141592920353982,risk_factors
Lehman Brothers,LEH,failed,2007,1043,0.20421860019175456,0.14477468839884947,0.6510067114093959,0.8962476744618214,0.8618501373474171,0.05944391179290509,mda
Lehman Brothers,LEH,failed,2008,0,,,,,,,risk_factors
Lehman Brothers,LEH,failed,2008,0,,,,,,,mda
Bear Stearns,BSC,failed,2005,83,0.03614457831325301,0.5662650602409639,0.39759036144578314,0.7209077080090841,0.8411350935063464,-0.5301204819277109,risk_factors
Bear Stearns,BSC,failed,2005,3,,,,,,,mda
Bear Stearns,BSC,failed,2006,91,0.03296703296703297,0.5604395604395604,0.4065934065934066,0.6464144786198934,0.8415503572015202,-0.5274725274725275,risk_factors
Bear Stearns,BSC,failed,2006,3,,,,,,,mda
Bear Stearns,BSC,failed,2007,159,0.031446540880503145,0.5849056603773585,0.3836477987421384,0.6660107433795929,0.8537305029489661,-0.5534591194968553,risk_factors
Bear Stearns,BSC,failed,2007,3,,,,,,,mda
Bear Stearns,BSC,failed,2008,0,,,,,,,risk_factors
Bear Stearns,BSC,failed,2008,0,,,,,,,mda
AIG,AIG,failed,2005,767,0.035202086049543675,0.05215123859191656,0.9126466753585397,0.6988103776066391,0.7372302480041981,-0.016949152542372885,risk_factors
AIG,AIG,failed,2005,742,0.03638814016172507,0.09164420485175202,0.871967654986523,0.7055794651861544,0.7229627826634575,-0.05525606469002695,mda
AIG,AIG,failed,2006,875,0.052571428571428575,0.08342857142857144,0.864,0.7645020562669506,0.8076921121714866,-0.03085714285714286,risk_factors
AIG,AIG,failed,2006,706,0.032577903682719546,0.09631728045325778,0.8711048158640227,0.7307721933592921,0.7650018347536817,-0.06373937677053823,mda
AIG,AIG,failed,2007,808,0.07673267326732673,0.12128712871287128,0.801980198019802,0.7717022674698983,0.7942852034252517,-0.04455445544554455,risk_factors
AIG,AIG,failed,2007,708,0.01977401129943503,0.07203389830508475,0.9081920903954802,0.6696606597730091,0.7755858839726916,-0.05225988700564972,mda
AIG,AIG,failed,2008,744,0.043010752688172046,0.0967741935483871,0.8602150537634409,0.7880631228908896,0.8035665431784259,-0.05376344086021505,risk_factors
AIG,AIG,failed,2008,667,0.041979010494752625,0.08245877061469266,0.8755622188905547,0.7619126832910946,0.8038907853039828,-0.040479760119940034,mda
JPMorgan Chase,JPM,survived,2005,49,0.02040816326530612,0.02040816326530612,0.9591836734693877,0.9476009607315063,0.7648956775665283,0.0,risk_factors
JPMorgan Chase,JPM,survived,2005,1,,,,,,,mda
JPMorgan Chase,JPM,survived,2006,44,0.022727272727272728,0.022727272727272728,0.9545454545454546,0.9507824182510376,0.7648956775665283,0.0,risk_factors
JPMorgan Chase,JPM,survived,2006,1,,,,,,,mda
JPMorgan Chase,JPM,survived,2007,686,0.03935860058309038,0.03498542274052478,0.9256559766763849,0.7572041639575252,0.7465217784047127,0.0043731778425655995,risk_factors
JPMorgan Chase,JPM,survived,2007,1,,,,,,,mda
JPMorgan Chase,JPM,survived,2008,685,0.05547445255474453,0.035036496350364967,0.9094890510948905,0.7947633548786766,0.8207293885449568,0.020437956204379562,risk_factors
JPMorgan Chase,JPM,survived,2008,1,,,,,,,mda
Wells Fargo,WFC,survived,2005,413,0.04600484261501211,0.19612590799031476,0.7578692493946732,0.6897196079555311,0.8384048692238184,-0.15012106537530265,risk_factors
Wells Fargo,WFC,survived,2005,411,0.046228710462287104,0.19708029197080293,0.7566909975669099,0.6897196079555311,0.8384048692238184,-0.15085158150851583,mda
Wells Fargo,WFC,survived,2006,180,0.0,0.005555555555555556,0.9944444444444445,0.0,0.4927155375480652,-0.005555555555555556,risk_factors
Wells Fargo,WFC,survived,2006,4,,,,,,,mda
Wells Fargo,WFC,survived,2007,184,0.0,0.005434782608695652,0.9945652173913043,0.0,0.4927155375480652,-0.005434782608695652,risk_factors
Wells Fargo,WFC,survived,2007,4,,,,,,,mda
Wells Fargo,WFC,survived,2008,215,0.0,0.009302325581395349,0.9906976744186047,0.0,0.4961511045694351,-0.009302325581395349,risk_factors
Wells Fargo,WFC,survived,2008,4,,,,,,,mda
