firm,ticker,status,fiscal_year,n_paragraphs,positive_ratio,negative_ratio,neutral_ratio,avg_negative_score,sentiment_score
Lehman Brothers,LEH,failed,2005,300.0,0.2633333333333333,0.1,0.6366666666666667,0.8282018601894379,0.1633333333333333
Lehman Brothers,LEH,failed,2006,333.0,0.2702702702702703,0.1021021021021021,0.6276276276276276,0.8387629284578211,0.16816816816816818
Lehman Brothers,LEH,failed,2007,405.0,0.19012345679012346,0.18024691358024691,0.6296296296296297,0.839193291860084,0.009876543209876548
Lehman Brothers,LEH,failed,2008,,,,,,
Bear Stearns,BSC,failed,2005,2.0,0.0,0.0,1.0,0.0,0.0
Bear Stearns,BSC,failed,2006,2.0,0.0,0.0,1.0,0.0,0.0
Bear Stearns,BSC,failed,2007,2.0,0.0,0.0,1.0,0.0,0.0
Bear Stearns,BSC,failed,2008,,,,,,
AIG,AIG,failed,2005,323.0,0.015479876160990712,0.07430340557275542,0.9102167182662538,0.706447092195352,-0.058823529411764705
AIG,AIG,failed,2006,314.0,0.01592356687898089,0.09554140127388536,0.8885350318471338,0.7771813333034515,-0.07961783439490447
AIG,AIG,failed,2007,311.0,0.00964630225080386,0.08360128617363344,0.9067524115755627,0.7979226926198373,-0.07395498392282958
AIG,AIG,failed,2008,292.0,0.023972602739726026,0.08561643835616438,0.8904109589041096,0.8044740033149719,-0.06164383561643835
JPMorgan Chase,JPM,survived,2005,2.0,0.0,0.0,1.0,0.0,0.0
JPMorgan Chase,JPM,survived,2006,2.0,0.0,0.0,1.0,0.0,0.0
JPMorgan Chase,JPM,survived,2007,2.0,0.0,0.0,1.0,0.0,0.0
JPMorgan Chase,JPM,survived,2008,2.0,0.0,0.0,1.0,0.0,0.0
Wells Fargo,WFC,survived,2005,170.0,0.01764705882352941,0.21176470588235294,0.7705882352941177,0.8107856263717016,-0.19411764705882353
Wells Fargo,WFC,survived,2006,1.0,0.0,0.0,1.0,0.0,0.0
Wells Fargo,WFC,survived,2007,1.0,0.0,0.0,1.0,0.0,0.0
Wells Fargo,WFC,survived,2008,1.0,0.0,0.0,1.0,0.0,0.0
